task_id,task_description,created_at,due_date,assigned_to,priority,status,category,estimated_hours,actual_hours,user_workload,user_skill_level,clean_description,priority_encoded,workload_score
1,Part value various production behind matter growth important.,23-06-2025,23-06-2025,user_1,Medium,Done,Improvement,2.2,1.9,3.0,Intermediate,part value various production behind matter growth important,2,0.9375
2,Race long dinner war painting chair certainly.,17-06-2025,18-06-2025,user_9,Medium,To Do,Feature,9.5,8.2,4.4,Expert,race long dinner war painting chair certainly,2,0.41904761904761906
3,Question arrive he window film your recently tend.,26-05-2025,20-06-2025,user_5,Medium,To Do,Feature,2.4,1.9,5.6,Beginner,question arrive window film recently tend,2,1.6470588235294117
4,Popular understand feeling chance drug growth per career war.,11-05-2025,04-06-2025,user_5,Medium,Done,Feature,8.8,8.8,2.4,Expert,popular understand feeling chance drug growth per career war,2,0.24489795918367344
5,Him official behavior book perhaps low book popular nothing series history throughout.,08-06-2025,21-07-2025,user_8,Low,Done,Improvement,2.6,3.4,5.4,Intermediate,official behavior book perhaps low book popular nothing series history throughout,1,1.5
6,Little blue consider must much company sometimes player best account federal.,29-04-2025,11-05-2025,user_7,Medium,To Do,Improvement,6.4,8.2,3.8,Intermediate,little blue consider must much company sometimes player best account federal,2,0.5135135135135135
7,Various nearly hour for course region reality operation rule only many card peace.,14-06-2025,15-06-2025,user_4,High,In Progress,Bug,7.2,6.8,8.3,Beginner,various nearly hour course region reality operation rule many card peace,0,1.0121951219512197
8,Audience assume window military either change.,31-05-2025,14-07-2025,user_10,High,In Progress,Feature,8.9,8.6,6.4,Intermediate,audience assume window military either change,0,0.6464646464646465
9,Week affect treatment concern its Mr.,05-05-2025,13-05-2025,user_4,High,To Do,Feature,2.1,2.2,5.3,Expert,week affect treatment concern,0,1.7096774193548385
10,Goal position more their ten front sign environmental.,22-05-2025,17-06-2025,user_4,Medium,Done,Feature,9.5,11.0,1.9,Intermediate,goal position ten front sign environmental,2,0.18095238095238095
11,Argue participant film wear suffer day wide arm wear maybe.,01-05-2025,15-05-2025,user_9,Medium,In Progress,Feature,6.0,3.8,3.3,Beginner,argue participant film wear suffer day wide arm wear maybe,2,0.4714285714285714
12,Phone age perform media company security.,14-06-2025,18-06-2025,user_2,Low,In Progress,Improvement,6.3,5.3,10.1,Expert,phone age perform medium company security,1,1.3835616438356164
13,Company line know outside though plant small.,08-05-2025,01-07-2025,user_5,High,To Do,Feature,1.6,1.6,1.2,Intermediate,company line know outside though plant small,0,0.4615384615384615
14,Rather early tonight special those less there politics long.,16-05-2025,31-05-2025,user_8,Low,In Progress,Feature,9.7,9.7,3.7,Intermediate,rather early tonight special le politics long,1,0.3457943925233645
15,Road black cut decide hold rather she.,12-06-2025,03-07-2025,user_7,High,In Progress,Improvement,2.9,2.9,11.4,Expert,road black cut decide hold rather,0,2.9230769230769234
16,Design provide sense blue everyone than kid entire probably provide bad responsibility whether.,03-05-2025,25-05-2025,user_1,Low,In Progress,Improvement,5.8,5.4,2.4,Intermediate,design provide sense blue everyone kid entire probably provide bad responsibility whether,1,0.35294117647058826
17,Near wind sometimes treat when boy worry.,25-05-2025,26-05-2025,user_6,High,In Progress,Improvement,9.5,12.6,7.0,Beginner,near wind sometimes treat boy worry,0,0.6666666666666666
18,Process draw industry national around those her herself pretty history question especially us.,21-05-2025,24-05-2025,user_9,Medium,To Do,Feature,8.6,8.6,11.3,Intermediate,process draw industry national around pretty history question especially,2,1.1770833333333335
19,Different turn simply blood oil guy outside successful but case season even might.,13-05-2025,01-07-2025,user_10,Medium,In Progress,Feature,10.2,9.9,1.8,Beginner,different turn simply blood oil guy outside successful case season even might,2,0.16071428571428573
20,Point fact civil such each administration society these poor middle reality.,15-06-2025,05-07-2025,user_6,Medium,In Progress,Bug,3.3,3.8,2.2,Intermediate,point fact civil administration society poor middle reality,2,0.5116279069767442
21,Team marriage all herself much detail evidence.,27-05-2025,22-06-2025,user_5,Low,To Do,Bug,4.3,2.7,1.7,Intermediate,team marriage much detail evidence,1,0.32075471698113206
22,Measure Congress capital behind major manage friend to word.,25-06-2025,03-07-2025,user_1,Medium,In Progress,Feature,11.5,12.1,6.1,Expert,measure congress capital behind major manage friend word,2,0.488
23,Factor program assume old but I more involve ask opportunity make know lay improve.,20-06-2025,30-06-2025,user_3,Medium,Done,Feature,4.9,5.0,8.0,Beginner,factor program assume old involve ask opportunity make know lay improve,2,1.3559322033898304
24,Test citizen garden thus measure behind look.,07-05-2025,27-05-2025,user_10,Medium,To Do,Feature,3.1,4.2,7.1,Beginner,test citizen garden thus measure behind look,2,1.7317073170731707
25,Race light answer avoid late front.,21-06-2025,06-07-2025,user_2,Medium,To Do,Feature,3.9,4.7,9.3,Expert,race light answer avoid late front,2,1.8979591836734695
26,Movie painting like year phone course.,18-05-2025,23-06-2025,user_6,Medium,To Do,Feature,7.3,6.2,6.6,Beginner,movie painting like year phone course,2,0.7951807228915662
27,Thought tax art painting area black total piece real.,18-05-2025,09-07-2025,user_7,Medium,To Do,Feature,1.8,2.2,2.0,Intermediate,thought tax art painting area black total piece real,2,0.7142857142857143
28,Large force campaign decide as degree candidate.,08-05-2025,11-05-2025,user_9,Medium,To Do,Feature,7.2,7.2,9.1,Intermediate,large force campaign decide degree candidate,2,1.1097560975609757
29,Goal agency strong bed company receive hotel also run recently fish service prepare.,29-05-2025,06-06-2025,user_10,Medium,To Do,Feature,2.5,2.5,9.7,Expert,goal agency strong bed company receive hotel also run recently fish service prepare,2,2.7714285714285714
30,Single treat nice item avoid lot score before amount.,01-06-2025,02-07-2025,user_5,Low,In Progress,Improvement,4.1,3.8,5.9,Beginner,single treat nice item avoid lot score amount,1,1.1568627450980393
31,Debate least gas them create fill.,13-06-2025,24-06-2025,user_9,High,In Progress,Improvement,3.9,3.5,11.7,Beginner,debate least gas create fill,0,2.387755102040816
32,Could your difference enjoy already car cold administration national defense it story.,11-06-2025,29-06-2025,user_2,Medium,In Progress,Feature,10.3,11.9,2.9,Intermediate,could difference enjoy already car cold administration national defense story,2,0.2566371681415929
33,Goal structure time soon often main concern focus.,25-05-2025,21-06-2025,user_5,Medium,To Do,Feature,2.1,2.0,2.7,Intermediate,goal structure time soon often main concern focus,2,0.8709677419354839
34,Paper environmental mention set challenge parent theory baby person system pull three lose.,07-06-2025,17-07-2025,user_4,Medium,In Progress,Bug,11.0,10.9,3.3,Intermediate,paper environmental mention set challenge parent theory baby person system pull three lose,2,0.27499999999999997
35,Impact hour practice rate hundred say other sense section develop her sister.,12-05-2025,07-07-2025,user_6,Low,Done,Improvement,11.0,12.5,11.8,Intermediate,impact hour practice rate hundred say sense section develop sister,1,0.9833333333333334
36,Rest member pay other late able indeed type political future similar great.,06-05-2025,15-06-2025,user_3,Medium,In Progress,Improvement,7.8,9.7,11.8,Expert,rest member pay late able indeed type political future similar great,2,1.3409090909090908
37,New few common between pay child task sit southern.,06-06-2025,11-06-2025,user_6,Medium,In Progress,Improvement,6.6,4.8,1.3,Intermediate,new common pay child task sit southern,2,0.17105263157894737
38,Police late wind include third sound have describe avoid situation gun easy rather.,01-05-2025,10-05-2025,user_2,Medium,To Do,Feature,7.0,6.8,6.0,Beginner,police late wind include third sound describe avoid situation gun easy rather,2,0.75
39,Beyond artist miss find account stop read heavy rather forward apply form light role.,13-05-2025,25-06-2025,user_2,High,In Progress,Improvement,3.7,4.1,5.4,Expert,beyond artist miss find account stop read heavy rather forward apply form light role,0,1.148936170212766
40,Provide pattern probably run act fear have audience go brother.,28-05-2025,18-06-2025,user_9,Medium,To Do,Feature,2.9,3.2,11.6,Intermediate,provide pattern probably run act fear audience brother,2,2.9743589743589745
41,Ten attention whose though treat state someone anything reason plant again job seem.,15-06-2025,04-07-2025,user_10,Low,Done,Bug,9.4,10.7,7.0,Intermediate,ten attention whose though treat state someone anything reason plant job seem,1,0.673076923076923
42,Shoulder beyond knowledge generation consumer material team day increase little relationship long nothing.,25-06-2025,16-07-2025,user_7,High,To Do,Improvement,1.8,2.7,11.9,Expert,shoulder beyond knowledge generation consumer material team day increase little relationship long nothing,0,4.25
43,Sing general vote fact compare job.,09-06-2025,09-07-2025,user_2,Medium,To Do,Improvement,5.9,6.1,2.2,Expert,sing general vote fact compare job,2,0.31884057971014496
44,Kind country tax why wait work great painting.,19-05-2025,12-06-2025,user_4,High,Done,Feature,7.3,8.5,3.3,Beginner,kind country tax wait work great painting,0,0.3975903614457831
45,Surface trip home forget most recognize.,08-05-2025,07-07-2025,user_8,Medium,To Do,Feature,11.1,8.3,3.2,Expert,surface trip home forget recognize,2,0.2644628099173554
46,City place remain stage Republican represent.,16-05-2025,25-06-2025,user_7,High,In Progress,Feature,9.7,7.5,5.2,Beginner,city place remain stage republican represent,0,0.485981308411215
47,Training make ok that authority guess far first chance start century tax.,01-06-2025,03-07-2025,user_8,Medium,In Progress,Bug,11.3,8.3,1.3,Intermediate,training make authority guess far first chance start century tax,2,0.1056910569105691
48,Could theory tough discussion field despite will about our new discussion anything among image.,21-05-2025,02-07-2025,user_10,Medium,In Progress,Feature,4.1,3.4,4.9,Beginner,could theory tough discussion field despite new discussion anything among image,2,0.9607843137254903
49,Happy professor whom discussion mind discover either win benefit its walk include try.,25-05-2025,02-06-2025,user_9,High,To Do,Feature,3.1,2.7,2.5,Expert,happy professor discussion mind discover either win benefit walk include try,0,0.6097560975609757
50,Executive similar give include record economic through.,17-05-2025,17-05-2025,user_8,Medium,In Progress,Bug,5.1,2.9,4.4,Expert,executive similar give include record economic,2,0.7213114754098362
51,Positive soldier beat religious voice tree consumer anything especially skin people step member.,06-06-2025,24-06-2025,user_9,High,Done,Feature,4.2,3.9,1.2,Expert,positive soldier beat religious voice tree consumer anything especially skin people step member,0,0.23076923076923075
52,Assume try address unit accept suddenly.,05-06-2025,24-07-2025,user_1,Medium,In Progress,Improvement,2.9,3.0,7.0,Intermediate,assume try address unit accept suddenly,2,1.794871794871795
53,As cause charge join job friend center body house food have range impact.,19-05-2025,24-06-2025,user_4,Medium,Done,Improvement,1.6,1.3,1.4,Beginner,cause charge join job friend center body house food range impact,2,0.5384615384615384
54,Democratic entire direction wife yard where.,27-04-2025,30-04-2025,user_2,Medium,To Do,Feature,4.3,3.0,1.2,Beginner,democratic entire direction wife yard,2,0.22641509433962265
55,Last instead yourself those market yourself establish seat accept drop food idea candidate.,01-05-2025,23-05-2025,user_2,Medium,In Progress,Feature,4.7,3.2,4.5,Intermediate,last instead market establish seat accept drop food idea candidate,2,0.7894736842105263
56,Show involve last each movie lay anyone mother seek whom.,13-06-2025,22-07-2025,user_8,Medium,In Progress,Feature,7.3,9.3,9.2,Expert,show involve last movie lay anyone mother seek,2,1.1084337349397588
57,Series big forget few rich health claim business suddenly help fight.,06-06-2025,30-06-2025,user_7,Medium,To Do,Feature,7.0,4.8,11.4,Expert,series big forget rich health claim business suddenly help fight,2,1.425
58,Certainly up happen stage accept himself.,15-05-2025,22-07-2025,user_4,High,To Do,Feature,1.2,1.1,7.9,Intermediate,certainly happen stage accept,0,3.590909090909091
59,Age current power billion concern clearly.,22-06-2025,18-07-2025,user_3,Medium,To Do,Bug,8.3,4.7,8.7,Beginner,age current power billion concern clearly,2,0.9354838709677418
60,Thought increase door receive strategy table.,16-05-2025,01-06-2025,user_5,High,To Do,Bug,10.3,8.8,11.9,Expert,thought increase door receive strategy table,0,1.0530973451327432
61,Position none detail suddenly administration not party defense human.,16-05-2025,23-07-2025,user_6,High,To Do,Improvement,3.8,4.0,9.5,Intermediate,position none detail suddenly administration party defense human,0,1.9791666666666667
62,Listen him month power successful American per.,19-05-2025,31-05-2025,user_1,Medium,In Progress,Improvement,2.7,3.2,2.1,Beginner,listen month power successful american per,2,0.5675675675675675
63,Point establish drug identify fill court campaign.,04-05-2025,07-05-2025,user_10,High,In Progress,Feature,10.1,9.9,11.3,Intermediate,point establish drug identify fill court campaign,0,1.018018018018018
64,Leader out debate how institution occur expect.,29-04-2025,14-06-2025,user_5,Medium,In Progress,Feature,10.0,8.9,7.8,Intermediate,leader debate institution occur expect,2,0.7090909090909091
65,Entire cold skin cut write woman court catch fear probably yes big board.,27-04-2025,26-06-2025,user_4,Medium,Done,Bug,8.8,9.1,9.4,Intermediate,entire cold skin cut write woman court catch fear probably yes big board,2,0.9591836734693877
66,Firm society create information teach toward particular box office be suddenly police.,16-06-2025,09-07-2025,user_4,Low,To Do,Bug,5.7,7.2,11.6,Beginner,firm society create information teach toward particular box office suddenly police,1,1.7313432835820894
67,Soldier see during goal dog cup generation weight.,21-05-2025,13-06-2025,user_9,Medium,Done,Bug,11.0,11.6,9.4,Expert,soldier see goal dog cup generation weight,2,0.7833333333333333
68,Alone dog suffer range south notice billion drug.,27-05-2025,22-07-2025,user_9,Low,Done,Bug,8.2,7.6,3.0,Intermediate,alone dog suffer range south notice billion drug,1,0.32608695652173914
69,Sell song appear economic increase she detail.,23-05-2025,30-05-2025,user_5,Medium,Done,Feature,6.2,6.9,11.4,Expert,sell song appear economic increase detail,2,1.5833333333333333
70,Food data suffer better senior actually theory method collection second security capital.,05-06-2025,02-07-2025,user_4,Medium,To Do,Bug,8.4,7.5,3.0,Expert,food data suffer better senior actually theory method collection second security capital,2,0.3191489361702127
71,Away girl leg long after social.,01-06-2025,24-07-2025,user_3,Medium,In Progress,Feature,6.7,6.8,10.4,Intermediate,away girl leg long social,2,1.3506493506493507
72,Along send image born weight question run ability beat a.,01-06-2025,15-07-2025,user_8,High,Done,Feature,8.1,10.4,2.3,Expert,along send image born weight question run ability beat,0,0.25274725274725274
73,Director old go recent country our such major someone paper travel beautiful major.,20-06-2025,12-07-2025,user_6,Medium,In Progress,Bug,6.2,7.1,1.4,Expert,director old recent country major someone paper travel beautiful major,2,0.19444444444444442
74,Energy way type wait third case never own dream gun dinner.,21-06-2025,17-07-2025,user_6,Medium,To Do,Improvement,4.0,3.0,5.1,Beginner,energy way type wait third case never dream gun dinner,2,1.02
75,Seem try start eat along between recent series between bar now defense.,05-05-2025,12-06-2025,user_4,High,In Progress,Bug,8.5,6.1,5.8,Beginner,seem try start eat along recent series bar defense,0,0.6105263157894737
76,Simply season Democrat travel read order keep side weight let usually growth seven.,26-05-2025,13-07-2025,user_4,Medium,In Progress,Feature,9.7,10.9,4.9,Intermediate,simply season democrat travel read order keep side weight let usually growth seven,2,0.4579439252336449
77,Set talk interview close whatever hospital.,03-06-2025,24-06-2025,user_4,Medium,Done,Feature,10.9,11.5,10.0,Expert,set talk interview close whatever hospital,2,0.8403361344537815
78,Husband huge stay table crime shoulder each natural gun.,14-05-2025,16-07-2025,user_5,Low,In Progress,Improvement,9.1,7.3,5.3,Expert,husband huge stay table crime shoulder natural gun,1,0.5247524752475248
79,West need child including each mean either full position customer particular friend.,03-05-2025,10-05-2025,user_7,Medium,To Do,Bug,1.6,1.5,4.9,Expert,west need child including mean either full position customer particular friend,2,1.8846153846153846
80,Main table entire scene together once.,29-05-2025,29-06-2025,user_6,Low,To Do,Feature,6.3,7.3,8.2,Intermediate,main table entire scene together,1,1.1232876712328765
81,Go report phone out understand together contain north act.,09-05-2025,12-07-2025,user_8,Low,In Progress,Improvement,8.5,6.9,1.5,Intermediate,report phone understand together contain north act,1,0.15789473684210525
82,Account event son between a evidence red cold attack moment rule.,09-06-2025,15-07-2025,user_2,Medium,To Do,Bug,6.5,8.2,5.3,Intermediate,account event son evidence red cold attack moment rule,2,0.7066666666666667
83,Will size else know establish cold.,20-05-2025,19-06-2025,user_2,Medium,To Do,Feature,10.2,10.9,7.5,Expert,size else know establish cold,2,0.6696428571428572
84,To night difficult nation half tonight away.,22-05-2025,28-05-2025,user_6,High,In Progress,Bug,4.1,5.1,8.6,Intermediate,night difficult nation half tonight away,0,1.6862745098039216
85,Election those protect around wife camera development idea son writer expect less marriage.,11-05-2025,28-05-2025,user_7,Medium,To Do,Improvement,9.1,5.9,7.8,Intermediate,election protect around wife camera development idea son writer expect le marriage,2,0.7722772277227723
86,Garden occur cell admit season enough.,24-05-2025,24-07-2025,user_6,Low,In Progress,Feature,6.6,8.2,1.2,Expert,garden occur cell admit season enough,1,0.15789473684210525
87,Read rule reason describe spend lot protect.,05-06-2025,06-06-2025,user_4,Medium,In Progress,Feature,5.6,4.8,11.4,Expert,read rule reason describe spend lot protect,2,1.7272727272727275
88,Best find college feel on condition.,05-05-2025,21-06-2025,user_10,Medium,Done,Feature,10.9,8.4,3.3,Intermediate,best find college feel condition,2,0.27731092436974786
89,Sense along wall this thousand candidate.,28-05-2025,15-06-2025,user_1,Medium,In Progress,Feature,9.7,7.5,8.0,Intermediate,sense along wall thousand candidate,2,0.7476635514018692
90,Option certainly back culture less score important government form fish.,03-05-2025,04-05-2025,user_6,Medium,Done,Bug,9.1,8.2,6.6,Intermediate,option certainly back culture le score important government form fish,2,0.6534653465346535
91,Debate deep every at together action move.,05-05-2025,23-05-2025,user_5,Medium,Done,Improvement,3.0,3.3,7.9,Beginner,debate deep every together action move,2,1.975
92,Sort have each allow south design possible money ask training natural usually.,01-06-2025,11-07-2025,user_1,Medium,To Do,Bug,7.8,7.1,8.3,Beginner,sort allow south design possible money ask training natural usually,2,0.9431818181818182
93,Job street marriage need card energy read rule fall.,10-05-2025,22-06-2025,user_7,Medium,Done,Bug,2.2,2.0,10.6,Expert,job street marriage need card energy read rule fall,2,3.3124999999999996
94,Before night worker along work east coach early around expert side from memory.,29-05-2025,02-06-2025,user_4,High,To Do,Bug,3.4,3.0,2.3,Intermediate,night worker along work east coach early around expert side memory,0,0.5227272727272726
95,Mention continue heart whose stage almost player behavior.,07-06-2025,02-07-2025,user_6,Medium,To Do,Bug,1.9,2.2,1.2,Beginner,mention continue heart whose stage almost player behavior,2,0.41379310344827586
96,Support bank every wait admit free general fine a officer lawyer know.,03-06-2025,23-07-2025,user_7,Medium,Done,Feature,9.6,6.9,10.0,Intermediate,support bank every wait admit free general fine officer lawyer know,2,0.9433962264150944
97,Never though similar staff song nearly second team gas so technology again side.,01-06-2025,30-06-2025,user_4,Medium,In Progress,Feature,11.7,16.5,4.1,Expert,never though similar staff song nearly second team gas technology side,2,0.3228346456692913
98,Six daughter strong let six visit.,09-06-2025,06-07-2025,user_2,Low,In Progress,Improvement,11.9,13.6,3.6,Beginner,six daughter strong let six visit,1,0.27906976744186046
99,Thus camera position minute single participant traditional event plant low myself wait step.,25-06-2025,26-06-2025,user_6,High,To Do,Bug,3.1,3.7,2.6,Intermediate,thus camera position minute single participant traditional event plant low wait step,0,0.6341463414634148
100,Rise environment measure inside eight yes throughout seat lead scene truth.,07-05-2025,23-06-2025,user_3,High,Done,Feature,7.7,6.0,1.1,Intermediate,rise environment measure inside eight yes throughout seat lead scene truth,0,0.12643678160919541
101,Ball develop traditional effort drive follow but paper serve toward behavior student.,18-06-2025,20-07-2025,user_8,Medium,To Do,Bug,10.7,12.9,8.9,Intermediate,ball develop traditional effort drive follow paper serve toward behavior student,2,0.7606837606837608
102,Fly reason small effect candidate nice soon health.,13-05-2025,23-05-2025,user_10,Medium,In Progress,Feature,2.2,2.9,6.3,Beginner,fly reason small effect candidate nice soon health,2,1.9687499999999998
103,Leader whose thus still explain call.,21-05-2025,13-07-2025,user_4,Low,In Progress,Improvement,2.3,2.6,7.5,Expert,leader whose thus still explain call,1,2.272727272727273
