task_id,task_description,created_at,due_date,assigned_to,priority,status,category,estimated_hours,actual_hours,user_workload,user_skill_level
1,Part value various production behind matter growth important.,23-06-2025,23-06-2025,user_1,Medium,Done,Improvement,2.2,1.9,3,Intermediate
2,Race long dinner war painting chair certainly.,17-06-2025,18-06-2025,user_9,Medium,To Do,Feature,9.5,8.2,4.4,Expert
3,Question arrive he window film your recently tend.,26-05-2025,20-06-2025,user_5,Medium,To Do,Feature,2.4,1.9,5.6,Beginner
4,Popular understand feeling chance drug growth per career war.,11-05-2025,04-06-2025,user_5,Medium,Done,Feature,8.8,8.8,2.4,Expert
5,Him official behavior book perhaps low book popular nothing series history throughout.,08-06-2025,21-07-2025,user_8,Low,Done,Improvement,2.6,3.4,5.4,Intermediate
6,Little blue consider must much company sometimes player best account federal.,29-04-2025,11-05-2025,user_7,Medium,To Do,Improvement,6.4,8.2,3.8,Intermediate
7,Various nearly hour for course region reality operation rule only many card peace.,14-06-2025,15-06-2025,user_4,High,In Progress,Bug,7.2,6.8,8.3,Beginner
8,Audience assume window military either change.,31-05-2025,14-07-2025,user_10,High,In Progress,Feature,8.9,8.6,6.4,Intermediate
9,Week affect treatment concern its Mr.,05-05-2025,13-05-2025,user_4,High,To Do,Feature,2.1,2.2,5.3,Expert
10,Goal position more their ten front sign environmental.,22-05-2025,17-06-2025,user_4,Medium,Done,Feature,9.5,11,1.9,Intermediate
11,Argue participant film wear suffer day wide arm wear maybe.,01-05-2025,15-05-2025,user_9,Medium,In Progress,Feature,6,3.8,3.3,Beginner
12,Phone age perform media company security.,14-06-2025,18-06-2025,user_2,Low,In Progress,Improvement,6.3,5.3,10.1,Expert
13,Company line know outside though plant small.,08-05-2025,01-07-2025,user_5,High,To Do,Feature,1.6,1.6,1.2,Intermediate
14,Rather early tonight special those less there politics long.,16-05-2025,31-05-2025,user_8,Low,In Progress,Feature,9.7,9.7,3.7,Intermediate
15,Road black cut decide hold rather she.,12-06-2025,03-07-2025,user_7,High,In Progress,Improvement,2.9,2.9,11.4,Expert
16,Design provide sense blue everyone than kid entire probably provide bad responsibility whether.,03-05-2025,25-05-2025,user_1,Low,In Progress,Improvement,5.8,5.4,2.4,Intermediate
17,Near wind sometimes treat when boy worry.,25-05-2025,26-05-2025,user_6,High,In Progress,Improvement,9.5,12.6,7,Beginner
18,Process draw industry national around those her herself pretty history question especially us.,21-05-2025,24-05-2025,user_9,Medium,To Do,Feature,8.6,8.6,11.3,Intermediate
19,Different turn simply blood oil guy outside successful but case season even might.,13-05-2025,01-07-2025,user_10,Medium,In Progress,Feature,10.2,9.9,1.8,Beginner
20,Point fact civil such each administration society these poor middle reality.,15-06-2025,05-07-2025,user_6,Medium,In Progress,Bug,3.3,3.8,2.2,Intermediate
21,Team marriage all herself much detail evidence.,27-05-2025,22-06-2025,user_5,Low,To Do,Bug,4.3,2.7,1.7,Intermediate
22,Measure Congress capital behind major manage friend to word.,25-06-2025,03-07-2025,user_1,Medium,In Progress,Feature,11.5,12.1,6.1,Expert
23,Factor program assume old but I more involve ask opportunity make know lay improve.,20-06-2025,30-06-2025,user_3,Medium,Done,Feature,4.9,5,8,Beginner
24,Test citizen garden thus measure behind look.,07-05-2025,27-05-2025,user_10,Medium,To Do,Feature,3.1,4.2,7.1,Beginner
25,Race light answer avoid late front.,21-06-2025,06-07-2025,user_2,Medium,To Do,Feature,3.9,4.7,9.3,Expert
